0;m;1968;NO;Islam;town near big cities;vegan;EELV;6;physical touch;normal;amour;Professeur;romance;peinture;bald;Satire;Françoise Sagan;driving;La quiche Lorraine;2;13;0;19;3;0;14;0;0;3;19;8;f;Deism;town near big cities;vegan;EELV;6;12;Pilote
1;m;2005;YES;Buddhism;Capital;no milky food;MoDem;7;gift giving;ultra dynamique;argent ;Musicien;family;photo;bald;Journals;Jack London;ramble in villages;Souffle au fromage;16;14;20;3;2;13;2;6;9;13;16;3;f;Buddhism;Capital;no milky food;MoDem;7;10;ultra dynamique
2;m;1968;NO;Buddhism;Deep countryside;no gluten;RUMP;6;physical touch;dynamique;patrie;platreur;family;serve;brown;Guide;Antoine de Saint-Exupery;camping;grenouille;8;18;3;16;10;0;5;2;19;16;18;2;m;Buddhism;Deep countryside;no gluten;RUMP;6;14;philosophie
3;f;1964;YES;Islam;Big City;normal;FN;8;quality time;lent;travail;economiste;lover;droit;yellow;Comics;Jean-Paul Sartre;surfing;Ratatouille;16;7;15;4;5;7;18;16;10;19;10;2;m;Islam;Big City;normal;FN;8;15;Auburn
4;f;1987;YES;Buddhism;Deep countryside;normal;MoDem;3;physical touch;dynamique;confort;tourneur;lover;finance;Auburn;Travel;Boris Vian;nothing;Steak-frites;6;15;17;10;10;8;10;11;1;3;13;17;f;Buddhism;Deep countryside;normal;MoDem;3;13;family
5;f;2002;NO;Deism;Big City;no alcool;UDI;5;physical touch;ultra dynamique;amour;Dentiste;romance;video;Auburn;Mystery;La Fontaine;climbing;Galettes;1;17;6;9;9;2;2;19;5;8;15;3;f;Deism;Big City;no alcool;UDI;5;12;Pediatre
6;m;1955;YES;Atheism;Deep countryside;no alcool;MoDem;1;acts of service;ultra dynamique;politique;caritatif;romance;series tv;red;Satire;Marcel Proust;pilgrimmage;Poulet Basquaise;16;2;0;19;5;8;3;2;8;13;6;9;m;Atheism;Deep countryside;no alcool;MoDem;1;12;Infirmiere
7;f;1999;YES;Islam;countryside near big cities;vegetarian;LR;2;words of affirmation;dynamique;patrie;Ambulancier;romance;ecologie;yellow;Health;Primo Levi;canyoning;Galettes;3;20;16;10;20;18;2;1;13;0;14;6;f;Islam;countryside near big cities;vegetarian;LR;2;18;ramble in villages
8;m;2001;NO;Anglicanism;Capital;no gluten;PS;4;words of affirmation;dynamique;argent ;Dentiste;romance;randonnée;brown;Math;La Fontaine;nothing;Magret de canard;18;19;4;9;9;0;8;20;20;17;9;9;m;Anglicanism;Capital;no gluten;PS;4;12;Policier
9;m;1993;YES;Buddhism;Deep countryside;vegetarian;UDI;7;quality time;ultra dynamique;confort;Dentiste;need;peinture;green;Trilogy;Voltaire;climbing;Sushis;18;6;0;2;1;17;16;9;8;17;8;13;f;Buddhism;Deep countryside;vegetarian;UDI;7;18;biking
